roomcount,enterroomtime
80,7.3872919082642
80,7.3772909641266
80,7.377375125885
80,7.377366065979
80,7.368007183075
80,7.3582239151001
80,7.3483419418335
81,7.3478407859802
81,7.3763470649719
81,7.365975856781
81,7.3652410507202
81,7.3650832176208
81,7.3650538921356
81,7.3652110099792
81,7.3557240962982
81,7.3558659553528
81,7.3469769954681
82,7.3373508453369
82,7.3283929824829
82,7.3263649940491
82,7.3170108795166
82,7.317214012146
82,7.3079349994659
82,7.2976861000061
82,7.2887918949127
82,7.2879779338837
82,7.2879490852356
83,7.2974631786346
83,7.2977569103241
83,7.2880311012268
83,7.2871999740601
83,7.294958114624
83,7.2957308292389
83,7.2953338623047
83,7.2948930263519
83,7.2931571006775
83,7.2928190231323
84,7.2945320606232
84,7.2834718227386
84,7.2785768508911
84,7.2787010669708
84,7.279196023941
84,7.2795097827911
84,7.279235124588
84,7.2700698375702
84,7.2595221996307
84,7.2495470046997
85,7.2396080493927
85,7.2303140163422
85,7.2196772098541
85,7.2083218097687
85,7.1979579925537
85,7.1883370876312
85,7.1879110336304
85,7.1766781806946
85,7.1679329872131
85,7.158262014389
86,7.1577861309052
86,7.1483430862427
86,7.1390960216522
86,7.1395890712738
86,7.1297478675842
86,7.1200678348541
86,7.1103610992432
86,7.1107370853424
86,7.1014201641083
86,7.0915749073029
87,7.08136510849
87,7.0719799995422
87,7.064915895462
87,7.064288854599
87,7.0897479057312
87,7.0846340656281
87,7.0762708187103
87,7.0755059719086
87,7.0751140117645
87,7.0751640796661
88,7.0756039619446
88,7.0747849941254
88,7.0756430625916
88,7.0864481925964
88,7.0893361568451
88,7.0897011756897
88,7.0893368721008
88,7.0886211395264
88,7.088310956955
88,7.0883500576019
89,7.0891427993774
89,7.0882389545441
89,7.0862510204315
89,7.0817778110504
89,7.078763961792
89,7.0853350162506
89,7.0760281085968
89,7.0676159858704
89,7.0671610832214
89,7.0656530857086
90,7.055988073349
90,7.0452499389648
90,7.0365619659424
90,7.0281789302826
90,7.0289180278778
90,7.0199310779572
90,7.0289800167084
90,7.0208070278168
90,7.0113689899445
90,7.0114221572876
91,7.0019369125366
91,7.001415014267
91,6.9921450614929
91,6.9821789264679
91,6.9713959693909
91,6.9717650413513
91,6.9622840881348
91,6.9616990089417
91,6.9515221118927
91,6.9422647953033
92,6.9320380687714
92,6.9222609996796
92,6.9218719005585
92,6.9219098091125
92,6.9117381572723
92,6.9022409915924
92,6.8925070762634
92,6.8833069801331
92,6.8838500976562
92,6.883239030838
93,6.8737020492554
93,6.8641560077667
93,6.8543448448181
93,6.8446559906006
93,6.8441729545593
93,6.8349549770355
93,6.8354949951172
93,6.8354859352112
93,6.8358550071716
93,6.8364520072937
94,6.8364038467407
94,6.8161609172821
94,6.8163900375366
94,6.8154549598694
94,6.8152320384979
94,6.8152680397034
94,6.8060441017151
94,6.805734872818
94,6.805862903595
94,6.8057489395142
95,6.8052289485931
95,6.7964169979095
95,6.7959671020508
95,6.7954759597778
95,6.7955260276794
95,6.7950930595398
95,6.7857308387756
95,6.786297082901
95,6.7823159694672
95,6.7774019241333
96,6.7778890132904
96,6.7744359970093
96,6.7786090373993
96,6.7703559398651
96,6.76154088974
96,6.7628901004791
96,6.7665250301361
96,6.7764430046082
96,6.778804063797
96,6.781555891037
97,6.7802920341492
97,6.771359205246
97,6.762640953064
97,6.7525420188904
97,6.7433269023895
97,6.7342901229858
97,6.7342858314514
97,6.7236301898956
97,6.7127051353455
97,6.7028830051422
98,6.6933817863464
98,6.6840589046478
98,6.6839439868927
98,6.6749739646912
98,6.6652178764343
98,6.6562728881836
98,6.6469721794128
98,6.6502029895782
98,6.6391959190369
98,6.6298761367798
99,6.6195487976074
99,6.6183431148529
99,6.6214518547058
99,6.6235959529877
99,6.6226251125336
99,6.6432609558105
99,6.6504158973694
99,6.6572859287262
99,6.6797850131989
99,6.6835408210754
100,6.6923990249634
